emd_nm,base_date,card_use_cnt,delivery_per_cnt,market_per_cnt,visit_ratio,frgn_ratio,youth_ratio,total_pop,제주_resd_ratio,제주_resd_pop
건입동,2021-07-01,2144.846318583578,0.10245224658122197,0.29014944254208336,51.06789086633315,0.0246712834810722,0.2038166784206847,9106.0445682112,0.5467935817854384,6721.705126789751
건입동,2021-07-02,2268.674869854899,0.11063591044355316,0.27166888536927786,51.689743460295155,0.0247297612625192,0.20429015094857397,9105.56667119242,0.5427991780043896,6645.0687704530965
건입동,2021-07-03,2492.8210202927526,0.12652075446717514,0.2683837924536357,52.075000471677455,0.0241087066891783,0.2044960777726326,9105.164298596652,0.5596537175870918,6972.452258849824
건입동,2021-07-04,2313.0998490343536,0.13533284929311118,0.2966193570637589,51.07456659988284,0.0240056898925484,0.2045416974869536,9105.308247407991,0.5781608202836372,7264.3570188760905
건입동,2021-07-05,2142.9191038160952,0.09442735687257994,0.3025017860154729,50.473149369363185,0.024302816708565,0.2044544356987733,9104.642765947396,0.555492580926147,6743.952110607533
건입동,2021-07-06,2194.7065860943117,0.09823020997207356,0.2873661539953232,51.22457112776248,0.0238321473403363,0.2035652309608641,9104.196450304948,0.5492608023447072,6691.442632602492
건입동,2021-07-07,2191.1809710063453,0.09872591217763668,0.28794982869688623,51.59714431733611,0.0235930532846308,0.2033841347665127,9103.525561710896,0.5500395268785779,6717.602056618504
건입동,2021-07-08,2190.1118465464338,0.10049855094697761,0.28972584604085305,51.907954341178,0.0235654791355396,0.2041321806427447,9103.363072909578,0.5515431896680879,6732.17184169276
건입동,2021-07-09,2321.7428515503893,0.10930467646048063,0.2716719087437252,52.51784489958087,0.0235603756265642,0.2043969321628537,9102.927951797905,0.547959900059393,6654.123746361441
건입동,2021-07-10,2555.3420266243033,0.12601013539910702,0.26882796933915915,52.89656285578904,0.022893315607387,0.2043970924862034,9102.564450541702,0.5651943034511591,6980.375726135077
건입동,2021-07-11,2378.4347605247053,0.13566530126156684,0.2975183182649804,51.89576760960872,0.0227553173772634,0.2042423881957292,9102.73930074158,0.5840409063856751,7271.438729603517
건입동,2021-07-12,2211.1410916145505,0.09514891219343756,0.3038231792102431,51.30078723615064,0.0230283025762473,0.2039626731453412,9102.093705870077,0.5616634341725191,6750.485952056128
건입동,2021-07-13,2269.2767685877084,0.09987789397146074,0.2890675259305236,52.06590374002744,0.0225492393404518,0.20289122142120303,9101.651858010142,0.5556663298232419,6697.722207754915
건입동,2021-07-14,2270.988392586381,0.10129761452185397,0.290002057616685,52.459705109098564,0.0223112849753546,0.2025402953983366,9100.966717396504,0.5566175254009208,6723.917296942367
건입동,2021-07-15,2274.929268899789,0.10401631555679508,0.29208113486426374,52.79934934735997,0.0222931970032261,0.20313298433768698,9100.767615939494,0.558226801256323,6738.806664596182
건입동,2021-07-16,2413.388608886799,0.11382651682049981,0.2742608345925363,53.445536112001065,0.0223055275639165,0.2032587237388699,9100.271294247776,0.5546792327073589,6661.354717554098
건입동,2021-07-17,2655.075459313705,0.13157798614223562,0.2715969766309745,53.86764362955165,0.0216659499246502,0.2031378784328063,9099.819733900642,0.571878170872746,6988.471637823993
건입동,2021-07-18,2479.2361548476206,0.14213804881004885,0.30041933186657493,52.91673632921254,0.0215581089410407,0.2028816025403459,9099.878064268212,0.5906186361795205,7280.660960779973
